Nombre empleado,Sueldo Base,Descuento Salud,Descuento AFP,Sueldo Liquido
Juan Perez,2153414,150738.98,258409.68,1744265.34
Maria Garcia,1572296,110060.72000000002,188675.52,1273559.76
Carlos Lopez,2298688,160908.16,275842.56,1861937.2799999998
Ana Martinez,1909629,133674.03,229155.47999999998,1546799.49
Pedro Rodriguez,845813,59206.91,101497.56,685108.53
Laura Hernandez,1512217,105855.19000000002,181466.03999999998,1224895.77
Miguel Sanchez,424731,29731.170000000002,50967.72,344032.11
Isabel Gomez,985438,68980.66,118252.56,798204.78
Francisco Diaz,1099065,76934.55,131887.8,890242.6499999999
Elena Fernandez,1404388,98307.16,168526.56,1137554.28
